"Part ID","Description","Part Number","Substitution
Okay","Designators","Footprint","Pins","Quantity","Part Reference Link"
 ,"1.8K 0603<=1%>=1/10W","RC0603FR-071K8L",Y,"R103","0603",2,1,"=HYPERLINK("http://www.octopart.com/search?q=RC0603FR-071K8L")"
 ,"4.7K 0603<=5%>=1/10W","RC0603FR-074K7L",Y,"R104","0603",2,1,"=HYPERLINK("http://www.octopart.com/search?q=RC0603FR-074K7L")"
4597,"2.2K 0603<=5%>=1/10W","RC0603FR-072K2L",Y,"R201,R202,R217,R218","0603",2,4,"=HYPERLINK("http://www.octopart.com/search?q=RC0603FR-072K2L")"
21904,"1K 0603<=5%>=1/10W","RC0603FR-071KL",Y,"R203,R206,R208,R209","0603",2,4,"=HYPERLINK("http://www.octopart.com/search?q=RC0603FR-071KL")"
23502,"100 0603<=1%>=1/10W","RC0603FR-07100RL",Y,"R204,R207,R220,R221","0603",2,4,"=HYPERLINK("http://www.octopart.com/search?q=RC0603FR-07100RL")"
23693,"270 0603<=5%>=1/10W","RC0603FR-07270RL",Y,"R205,R304,R311","0603",2,3,"=HYPERLINK("http://www.octopart.com/search?q=RC0603FR-07270RL")"
23694,"27K 0603<=1%>=1/10W","RC0603FR-0727KL",Y,"R210,R211","0603",2,2,"=HYPERLINK("http://www.octopart.com/search?q=RC0603FR-0727KL")"
23987,"9.1K 0603<=1%>=1/10W","RC0603FR-079K1L",Y,"R212,R213","0603",2,2,"=HYPERLINK("http://www.octopart.com/search?q=RC0603FR-079K1L")"
23889,"4.7K 0603<=5%>=1/10W","RC0603FR-074K7L",Y,"R216,R219","0603",2,2,"=HYPERLINK("http://www.octopart.com/search?q=RC0603FR-074K7L")"
 ,"10K 0805<=5%>=1/10W","??",Y,"R301,R302","0805",2,2,"=HYPERLINK("http://www.octopart.com/search?q=??")"
 ,"0.04 1206<=1%>=1/4W","RL1206FR-070R04L",Y,"R303","1206",2,1,"=HYPERLINK("http://www.octopart.com/search?q=RL1206FR-070R04L")"
18201,"1K 0805<=5%>=1/10W","RC0805FR-071KL",Y,"R305,R308","0805",2,2,"=HYPERLINK("http://www.octopart.com/search?q=RC0805FR-071KL")"
 ,"12 0805<=5%>=1/8W","RC0805FR-0712RL",Y,"R306,R312","0805",2,2,"=HYPERLINK("http://www.octopart.com/search?q=RC0805FR-0712RL")"
 ,"5.9 0805<=0.1%>=1/8W","RMCF0805FT5R90",Y,"R307","0805",2,1,"=HYPERLINK("http://www.octopart.com/search?q=RMCF0805FT5R90")"
 ,"866 0805<=0.1%>=1/8W","RP73PF2A866RBTDF",Y,"R309,R310","0805",2,2,"=HYPERLINK("http://www.octopart.com/search?q=RP73PF2A866RBTDF")"
 ,"SMA Straight","5-1814832-1",Y,"RF301,RF302,RF303","Custom",5,3,"=HYPERLINK("http://www.octopart.com/search?q=5-1814832-1")"
 ,"4:1 RF Transformer","B62152A4X30",Y,"T301","Custom",4,1,"=HYPERLINK("http://www.octopart.com/search?q=B62152A4X30")"
 ,"1:1 RF Transformer","MABAES0060",N,"T302","SM-22-5 3.81x3.81mm",5,1,"=HYPERLINK("http://www.aliexpress.com/wholesale?SearchText=MABAES0060")"
 ,"Switching Regulator","ST1S10PHR",N,"U101","8-SOIC (3.90mm) EP",8,1,"=HYPERLINK("http://www.aliexpress.com/wholesale?SearchText=st1s10")"
 ,"LDO 10V 150mA","LP2985-10DBVR",N,"U102","SOT-23-5",5,1,"=HYPERLINK("http://www.octopart.com/search?q=LP2985-10DBVR")"
 ,"Slow ADC","MAX11613EUA",N,"U201","8-MSOP (3.00mm)",8,1,"=HYPERLINK("http://www.octopart.com/search?q=MAX11613EUA")"
 ,"Digital Rheostat 5K","MCP4662-502E/UN",N,"U202","10-MSOP (3.00mm)",10,1,"=HYPERLINK("http://www.octopart.com/search?q=MCP4662-502E/UN")"
 ,"Current Sense AMP","INA199A1DC",N,"U301","SC-70-6",6,1,"=HYPERLINK("http://www.octopart.com/search?q=INA199A1DC")"
 ,"21cm PFTE silver plated 24to30AWG wire","400R0111-24-9",N,"W301","Custom",0,1,"=HYPERLINK("http://www.aliexpress.com/wholesale?SearchText=PFTE Teflon Silver Plated Wire 30AWG")"

"Line Items SMT:"," ",50,"Line Items TH:"," ",5
"Parts SMT:"," ",124,"Parts TH:"," ",5
"Pins SMT:"," ",286,"Pins TH:"," ",43

