"Part ID", "Description", "Part Number", "Substitution
Okay", "Designators", "Footprint", "Pins", "Quantity", "Part Reference Link"
999, "4.7K 0603<=5%>=1/10W", "RC0603FR-074K7L", Y, "R16", "0603", 2, 1, "=HYPERLINK("http://www.octopart.com/search?q=RC0603FR-074K7L")"
23889, "4.7K 0603<=5%>=1/10W", "RC0603FR-074K7L", Y, "R17,R18,R19", "0603", 2, 3, "=HYPERLINK("http://www.octopart.com/search?q=RC0603FR-074K7L")"
23705, "3.3K 0603<=5%>=1/10W", "RC0603FR-073K3L", Y, "R21", "0603", 2, 1, "=HYPERLINK("http://www.octopart.com/search?q=RC0603FR-073K3L")"
23867, "47 0603<=1%>=1/10W", "RC0603FR-0747RL", Y, "R22", "0603", 2, 1, "=HYPERLINK("http://www.octopart.com/search?q=RC0603FR-0747RL")"
 , "IC REG LINEAR 3.3V 800MA", "LD1117S33TR", Y, "U2,U5", "SOT223", 4, 2, "=HYPERLINK("http://www.octopart.com/search?q=LD1117S33TR")"
 , "USB Hi-Speed Dual Channel", "FT2232HL", Y, "U3", "LQFP-64", 64, 1, "=HYPERLINK("http://www.octopart.com/search?q=FT2232HL")"
 , "93LC56BT-I/OT", "93LC56B", Y, "U4", "SOT23-6", 6, 1, "=HYPERLINK("http://www.octopart.com/search?q=93LC56B")"
 , "5A SIMPLE SWITCHER", "LMZ22005TZ", Y, "VR1", "Custom", 8, 1, "=HYPERLINK("http://www.octopart.com/search?q=LMZ22005TZ")"
 , "Crystal 12 MHz.", "ABM7-12.000MHZ-D2Y-T", Y, "Y1", "6.00mm x 3.50mm", 2, 1, "=HYPERLINK("http://www.octopart.com/search?q=ABM7-12.000MHZ-D2Y-T")"

"Line Items SMT:", " ", 37, "Line Items TH:", " ", 4
"Parts SMT:", " ", 78, "Parts TH:", " ", 4
"Pins SMT:", " ", 233, "Pins TH:", " ", 68

